algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,25,0.609880020955,0.38517472484,0.694389663503,24.3,27.8,2.5
randomForest,0,0,25,0.740286792959,0.487829433319,0.687286488899,24.3,27.8,2.5
0.0,0.6,0.0,25,0.925833634529,0.568499212623,0.723397600011,24.3,27,2
0.1,0.6,0.1,25,0.8125386043,0.518926760229,0.695897600011,24.3,27,2
0.2,0.6,0.2,25,0.729664766305,0.472685460898,0.687564266677,24.3,27,2
uniform,0,0,40,0.553942276073,0.27532122559,0.504530504949,39.3,43.5,3.0
randomForest,0,0,40,0.643291715314,0.337812711089,0.503677330346,39.3,43.5,3.0
0.0,0.6,0.0,40,0.857458737603,0.415552655509,0.536455108124,39.3,43,3
0.1,0.6,0.1,40,0.738153911815,0.361305712638,0.53187177479,39.3,43,3
0.2,0.6,0.2,40,0.630788194899,0.310226921536,0.52437177479,39.3,43,3
uniform,0,0,70,0.547273462788,0.311974890905,0.470205534579,70.1,66.7,3.6
randomForest,0,0,70,0.482033614957,0.29032080579,0.434411883786,70.1,66.7,3.6
0.0,0.6,0.0,70,0.832461544727,0.410327409222,0.506147994897,70.1,66,3
0.1,0.6,0.1,70,0.647147572951,0.353648782987,0.47510632823,70.1,66,3
0.2,0.6,0.2,70,0.56611876533,0.329509600697,0.466823499947,70.1,66,3
uniform,0,0,100,0.423072083698,0.255947193528,0.437648340582,87.5,74.4,3.8
randomForest,0,0,100,0.442883264388,0.271088512037,0.462419476449,87.5,74.4,3.8
0.0,0.6,0.0,100,0.62083315576,0.324864943005,0.493476859489,87.5,74,3
0.1,0.6,0.1,100,0.496636812031,0.289970582451,0.463541197725,87.5,74,3
0.2,0.6,0.2,100,0.461509734408,0.279160999733,0.455207864391,87.5,74,3
uniform,0,0,130,0.396410207207,0.218636193575,0.392580463241,93.1,75.9,3.8
randomForest,0,0,130,0.418585623244,0.236961459038,0.417351599108,93.1,75.9,3.8
0.0,0.6,0.0,130,0.611563889885,0.299229370825,0.452575648816,93.1,75,3
0.1,0.6,0.1,130,0.480165089272,0.259182473135,0.422639987051,93.1,75,3
0.2,0.6,0.2,130,0.440526029048,0.245287696237,0.414306653718,93.1,75,3
